batch_size,avg_step_time_s,throughput_samples_per_s,peak_memory_mb
8,0.007441302899997027,1075.0805480587542,169.703125
16,0.013038463049997517,1227.1385008068912,278.5390625
32,0.024186537900004624,1323.0500426435106,488.078125
64,0.04597106420000045,1392.180083575254,916.890625
128,0.08840682805001734,1447.8519682617987,1775.1796875
256,0.1760344811000209,1454.2605425953086,3493.546875
512,0.3550470715500296,1442.062309554507,6920.046875
1024,0.7093812005000132,1443.5116116387426,13781.15625
